"company_name","company_display_name","industry","total_reviews","company_overall_rating","company_work_life_balance","company_salary_benefits","company_job_security","company_company_culture","company_skill_development","company_work_satisfaction","company_promotions_appraisal","review_title","overall_rating","review_date","designation","employment_type","employee_status","work_location","likes","dislikes","additional_comments","sub_work_life_balance","sub_salary_benefits","sub_job_security","sub_company_culture","sub_skill_development","sub_work_satisfaction","sub_promotions_appraisal","source_page","source_url"
"Coforge Work with us","","IT Services & Consulting","6.7k","3.3","3.2","3.0","2.9","3.0","2.9","2.8","2.4","Software Development","1.0","26/03/2026","Senior Software Engineer","Permanent","Current Employee","Noida","The only thing that you can like in Coforge  is their outer environment that means the outer greenery part and if you are in your Noida campus, so that campus is full of greenery all plants are their gardens there you can sit there apart from that one Project was very good to check out at initial, but after that, nothing was good in in that project only my manager was very good otherwise Coforge doesn’t care of the employee. It only says whatever client says you have to do it and if you don’t do it, we’ll fire you and you should put a resign they ask you to resign whether their release because they have to give reasons And they don’t have any good reason to give so it’s all politics","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1","https://www.ambitionbox.com/reviews/coforge-reviews"
"Coforge Work with us","","IT Services & Consulting","6.7k","3.3","3.2","3.0","2.9","3.0","2.9","2.8","2.4","Business Intelligence & Analytics","1.0","25/03/2026","Senior Software Engineer","Permanent","Current Employee","Noida","","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1","https://www.ambitionbox.com/reviews/coforge-reviews"
"Coforge Work with us","","IT Services & Consulting","6.7k","3.3","3.2","3.0","2.9","3.0","2.9","2.8","2.4","Software Development","5.0","17/03/2026","Senior Software Engineer","Permanent","Current Employee","Noida","","","","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/coforge-reviews"
"Coforge Work with us","","IT Services & Consulting","6.7k","3.3","3.2","3.0","2.9","3.0","2.9","2.8","2.4","Software Development","1.0","11/03/2026","Senior Software Engineer","Permanent","Current Employee","Pune","","","","1.0","1.0","3.0","1.0","1.0","1.0","1.0","1","https://www.ambitionbox.com/reviews/coforge-reviews"
"Coforge Work with us","","IT Services & Consulting","6.7k","3.3","3.2","3.0","2.9","3.0","2.9","2.8","2.4","BFSI, Investments & Trading - Other","5.0","02/03/2026","Senior Software Engineer","Permanent","Current Employee","Pune","","","3 days/week from office, Monday to Friday (Flexible Timings), This job involves Travel Within City.","5.0","5.0","5.0","5.0","4.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/coforge-reviews"
"Coforge Work with us","","IT Services & Consulting","6.7k","3.3","3.2","3.0","2.9","3.0","2.9","2.8","2.4","Quality Assurance and Testing","5.0","28/02/2026","Senior Software Engineer","Permanent","Current Employee","Greater Noida","","","","4.0","4.0","4.0","5.0","5.0","4.0","3.0","1","https://www.ambitionbox.com/reviews/coforge-reviews"
"Coforge Work with us","","IT Services & Consulting","6.7k","3.3","3.2","3.0","2.9","3.0","2.9","2.8","2.4","Software Development","4.0","26/02/2026","Senior Software Engineer","Permanent","Current Employee","Greater Noida","","","","2.0","4.0","4.0","5.0","4.0","4.0","4.0","1","https://www.ambitionbox.com/reviews/coforge-reviews"
"Coforge Work with us","","IT Services & Consulting","6.7k","3.3","3.2","3.0","2.9","3.0","2.9","2.8","2.4","Software Development","5.0","24/02/2026","Senior Software Engineer","Permanent","Current Employee","Greater Noida","Skill Development, Salary and Job Security","Work Life Balance","3 days/week from office, Monday to Friday (Flexible Timings), This is a desk job.","2.0","5.0","5.0","5.0","4.0","3.0","4.0","1","https://www.ambitionbox.com/reviews/coforge-reviews"
"Coforge Work with us","","IT Services & Consulting","6.7k","3.3","3.2","3.0","2.9","3.0","2.9","2.8","2.4","Software Development","3.0","21/02/2026","Senior Software Engineer","Permanent","Current Employee","Hyderabad","","","3 days/week from office, Monday to Friday (Flexible Timings), This job involves Travel Within City.","4.0","2.0","1.0","4.0","2.0","3.0","2.0","1","https://www.ambitionbox.com/reviews/coforge-reviews"
"Coforge Work with us","","IT Services & Consulting","6.7k","3.3","3.2","3.0","2.9","3.0","2.9","2.8","2.4","Software Development","2.0","21/02/2026","Senior Software Engineer","Permanent","Current Employee","Noida","","","","2.0","2.0","1.0","2.0","3.0","1.0","1.0","1","https://www.ambitionbox.com/reviews/coforge-reviews"
