"company_name","company_display_name","industry","total_reviews","company_overall_rating","company_work_life_balance","company_salary_benefits","company_job_security","company_company_culture","company_skill_development","company_work_satisfaction","company_promotions_appraisal","review_title","overall_rating","review_date","designation","employment_type","employee_status","work_location","likes","dislikes","additional_comments","sub_work_life_balance","sub_salary_benefits","sub_job_security","sub_company_culture","sub_skill_development","sub_work_satisfaction","sub_promotions_appraisal","source_page","source_url"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","Retail & B2C Sales","5.0","20/02/2026","Sales Associate","Permanent","Current Employee","New Delhi","Work environment","Nothing","Flexible Timings , This job involves International Travel .","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","HR Operations","3.0","05/01/2026","HR Executive","Permanent","Current Employee","New Delhi","Only the Salary part of this company is good.","","","2.0","4.0","4.0","1.0","1.0","1.0","2.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","Retail Store Operations","4.0","07/11/2025","Brand Ambassador","Permanent","Current Employee","New Delhi","","","Rotational Shift ( Strict Timings ) , This is a desk job.","4.0","4.0","4.0","4.0","5.0","4.0","4.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","Sales Support & Operations","1.0","19/11/2024","Sales Associate","Permanent","Current Employee","New Delhi","I don't like anything about this company no one is supporting always terrifying us that they can do anything they can fire us anytime etc etc , working here more than 1.5 years still no promotions also not giving the complete breaks to the staff just giving 30 mins break in 12 hours shift , giving mental and physical pressure.","Nothing to like in this company specially Ankit Shrivastava ( Cash Till Leader ( Emp I'd DDFS000473)) is pressurizing sales associate towards the work without giving breaks even if someone is going to say anything he issues warning letter towards him/her on any allegation that he likes , in the HR no one is supporting to the junior staff always they are supporting managers still if the managers are wrong .","Rotational Shift ( Flexible Timings ) , This is a desk job.","1.0","3.0","1.0","1.0","1.0","1.0","1.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","Finance","3.0","14/06/2025","Finance Executive","Permanent","Current Employee","New Delhi","Office Timming","The salary difference for the same role and designation is too high.","Monday to Friday ( Strict Timings ) , This is a desk job.","4.0","3.0","3.0","3.0","3.0","3.0","3.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","Operations Support","5.0","13/05/2025","Assistant Manager Operations (working remotely)","Permanent","Current Employee","","Working hours","","","3.0","3.0","5.0","2.0","2.0","3.0","2.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","Retail & B2C Sales","5.0","06/11/2024","Brand Ambassador","Permanent","Current Employee","New Delhi","The staff is too much cooperative and there is lot of things to learn and gain knowledge from seniors.","There is nothing which is bad in this company.","Strict Timings , This is a desk job.","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","Operations Support","5.0","19/05/2024","Loss Prevention Executive","Permanent","Current Employee","New Delhi","You will get salary on time . You don't neend to work extra . You have to leave the floor after your times up . HR team is very helpful. You will get promoted on the behalf of your skills after 9 months. If you join as a cashier, BP & B.A.","All average nothing to dislike. But there is less chances for loss prevention team members to get promoted. You have to wait for a long time period it can be years.  Also there is no incentive for loss prevention team.","Rotational Shift ( Strict Timings ) , This is a desk job.","4.0","3.0","4.0","5.0","3.0","3.0","3.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","Retail & B2C Sales","4.0","26/09/2024","Brand Ambassador","Permanent","Current Employee","New Delhi","Working environment is good","Appraisal and promotion are not up to the mark company has 2000 cr turnover a year should give more facilities and benefits.","Rotational Shift ( Strict Timings ) , This job involves Travel Within City .","4.0","3.0","3.0","3.0","3.0","3.0","3.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","Retail & B2C Sales","4.0","06/02/2025","Brand Ambassador","Permanent","Current Employee","New Delhi","","","Rotational Shift ( Strict Timings ) , This is a desk job.","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","Retail & B2C Sales","4.0","04/06/2025","Brand Ambassador","Permanent","Current Employee","Noida","","","","4.0","4.0","3.0","5.0","4.0","4.0","4.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","Customer Success, Service & Operations - Other","4.0","10/04/2025","Brand Ambassador","Permanent","Current Employee","New Delhi","","","Rotational Shift ( Strict Timings ) , This is a desk job.","4.0","4.0","3.0","4.0","4.0","4.0","3.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
"Delhi Duty Free Services","","Retail","288","3.8","3.8","3.7","3.7","3.4","3.5","3.4","3.2","Retail Store Operations","4.0","25/11/2024","Retail Manager","Permanent","Current Employee","New Delhi","Salary on time 
Work life balance","Everything is okay","Strict Timings , This is a desk job.","4.0","3.0","4.0","3.0","3.0","3.0","3.0","1","https://www.ambitionbox.com/reviews/delhi duty free services-reviews"
