"company_name","industry","total_reviews","company_overall_rating","company_work_life_balance","company_salary_benefits","company_job_security","company_company_culture","company_skill_development","company_work_satisfaction","company_promotions_appraisal","review_title","overall_rating","review_date","designation","employment_type","employee_status","work_location","likes","dislikes","additional_comments","sub_work_life_balance","sub_salary_benefits","sub_job_security","sub_company_culture","sub_skill_development","sub_work_satisfaction","sub_promotions_appraisal","source_page","source_url"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Engineering","1.0","29/03/2026","Mechanical Maintenance Engineer (working remotely)","Intern / Trainee","Current Employee","","Good experience , safety good , work load no","Bed culture,","Monday to Saturday, This job involves Travel Within City.","3.0","3.0","3.0","3.0","3.0","3.0","3.0","1","https://www.ambitionbox.com/reviews/itc-reviews"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Engineering","5.0","24/01/2026","Mechanical Maintenance Engineer","Permanent","Current Employee","Sahibzada Ajit Singh Nagar","","","","4.0","5.0","1.0","4.0","2.0","2.0","2.0","1","https://www.ambitionbox.com/reviews/itc-reviews"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Operations, Maintenance & Support","5.0","07/01/2026","Mechanical Maintenance Engineer","Permanent","Current Employee","Kapurthala","","","Rotational Shift (Strict Timings),","5.0","4.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/itc-reviews"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Engineering","2.0","21/11/2025","Mechanical Maintenance Engineer","Permanent","Current Employee","Saharanpur","","","Rotational Shift (Strict Timings), This is a desk job.","4.0","1.0","4.0","1.0","4.0","1.0","1.0","1","https://www.ambitionbox.com/reviews/itc-reviews"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Operations, Maintenance & Support","3.0","20/09/2025","Mechanical Maintenance Engineer","Permanent","Current Employee","Pudukkottai","","","","4.0","3.0","5.0","2.0","4.0","4.0","1.0","1","https://www.ambitionbox.com/reviews/itc-reviews"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Operations, Maintenance & Support","5.0","30/01/2025","Mechanical Maintenance Engineer (working remotely)","Permanent","Current Employee","","Like","","","4.0","4.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/itc-reviews"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Operations, Maintenance & Support","5.0","12/09/2024","Mechanical Maintenance Engineer","Permanent","Current Employee","Saharanpur","Great work place for job","Nothing","Monday to Saturday (Strict Timings), This is a desk job.","4.0","4.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/itc-reviews"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Engineering","5.0","25/10/2022","Mechanical Maintenance Engineer","Permanent","Current Employee","Wimco","Food and employees behaviour","Nothing","Alternate Saturday off (Flexible Timings),","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/itc-reviews"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Retail & B2C Sales","5.0","09/03/2026","Area Sales Manager","Permanent","Current Employee","Kolkata","Proper training 
Work life balance
Job security","Salary 
Recognition 
Promotion","Monday to Saturday ( Flexible Timings ) , This job involves Travel Within City .","5.0","3.0","5.0","3.0","5.0","5.0","3.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Procurement & Purchase","4.0","07/03/2026","Senior Procurement and Supply Chain Manager","Permanent","Current Employee","Bhadrachalam","Work and life balance is good","Salary need to improve","Monday to Saturday ( Flexible Timings ) , This job involves Travel Within Country .","4.0","3.0","4.0","4.0","4.0","4.0","4.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Quality Assurance and Testing","1.0","07/03/2026","Office Associate","Permanent","Current Employee","Hyderabad","","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Retail & B2C Sales","3.0","06/03/2026","Sales Officer","Permanent","Current Employee","Guwahati","Good environment","work life balance is zero","Strict Timings , This job involves Travel Within Country .","1.0","2.0","1.0","2.0","2.0","1.0","2.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Facility Management","5.0","04/03/2026","Salesman","Permanent","Current Employee","New Delhi","Very good","Salry bahut kam h","Monday to Friday ( Flexible Timings ) , This is a desk job.","5.0","5.0","5.0","5.0","5.0","5.0","5.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Retail & B2C Sales","2.0","03/03/2026","Sells Representative","Permanent","Current Employee","Kolkata","","","2 days/week from office , Monday to Saturday ( Flexible Timings ) , This job involves Travel Within City .","2.0","2.0","5.0","5.0","5.0","3.0","1.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Production","4.0","03/03/2026","Manufacturing Executive","Permanent","Current Employee","Vadodara","","","","5.0","4.0","5.0","4.0","4.0","4.0","3.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Production","5.0","27/02/2026","Production Officer","Permanent","Current Employee","Kolkata","Work culture","","","5.0","4.0","5.0","4.0","4.0","4.0","1.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Marketing","5.0","27/02/2026","Trade Sales Incharge","Permanent","Current Employee","Ranchi","","","Strict Timings , This job involves Travel Within City .","5.0","5.0","5.0","5.0","5.0","5.0","5.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Sales Support & Operations","3.0","20/02/2026","Marketing Development Officer","Permanent","Current Employee","Ambikapur","","This is third party payroll job","100%  field , Monday to Saturday ( Flexible Timings ) , This job involves Travel Within City .","4.0","2.0","3.0","3.0","1.0","3.0","1.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Voice / Blended","5.0","19/02/2026","Associate Quality Analyst","Permanent","Current Employee","Kolkata","Lovely work culture 
Safe for women","Nothing to mention","Monday to Friday ( Strict Timings ) , This is a desk job.","5.0","5.0","5.0","5.0","5.0","5.0","5.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Accounting & Taxation","5.0","18/02/2026","Unit Finance Manager","Permanent","Current Employee","Bengaluru","Good","Location","Monday to Friday ( Flexible Timings ) , This job involves Travel Within Country .","5.0","5.0","5.0","5.0","5.0","5.0","5.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Construction Engineering","1.0","11/02/2026","Project Executive","Permanent","Current Employee","Bengaluru","","","","1.0","1.0","1.0","1.0","3.0","2.0","1.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Community Health & Safety","1.0","10/02/2026","EHS Executive","Permanent","Current Employee","Kolkata","","Bad behavior, dont deliver what they promise.","Monday to Saturday ( Strict Timings ) , This job involves Travel Within City .","1.0","1.0","4.0","2.0","1.0","1.0","1.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Retail & B2C Sales","5.0","09/02/2026","Area Executive","Permanent","Current Employee","Kolkata","","","Monday to Saturday , This job involves Travel Within City .","5.0","3.0","3.0","3.0","4.0","3.0","1.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Production","5.0","09/02/2026","Executive Production","Permanent","Current Employee","Pune","Respect, working culture, facility","Salary, career growth","Rotational Shift ( Flexible Timings ) , This job involves Travel Within Country .","5.0","4.0","5.0","4.0","5.0","4.0","3.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
"ITC","FMCG","7.1k","3.9","4.0","3.4","3.8","3.4","3.8","3.3","2.9","Sales Support & Operations","4.0","08/02/2026","Team Lead","Permanent","Current Employee","Chennai","Many positive in my company.  Good management, I had great experience and great team .","","","5.0","3.0","5.0","5.0","5.0","5.0","3.0","2","https://www.ambitionbox.com/reviews/itc-reviews?page=2"
