"company_name","company_display_name","industry","total_reviews","company_overall_rating","company_work_life_balance","company_salary_benefits","company_job_security","company_company_culture","company_skill_development","company_work_satisfaction","company_promotions_appraisal","review_title","overall_rating","review_date","designation","employment_type","employee_status","work_location","likes","dislikes","additional_comments","sub_work_life_balance","sub_salary_benefits","sub_job_security","sub_company_culture","sub_skill_development","sub_work_satisfaction","sub_promotions_appraisal","source_page","source_url"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Product Management - Technology","1.0","25/03/2026","Assistant Manager","Permanent","Current Employee","Ballari","Job security","","","1.0","1.0","5.0","1.0","1.0","3.0","1.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Procurement & Purchase","1.0","28/03/2026","Assistant Manager","Permanent","Current Employee","Jharsuguda","","","Monday to Saturday (Flexible Timings), This is a desk job.","1.0","1.0","3.0","1.0","1.0","1.0","1.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Engineering","3.0","28/03/2026","Assistant Manager","Permanent","Current Employee","Mumbai","","","","2.0","4.0","5.0","2.0","4.0","3.0","3.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Mining","5.0","28/03/2026","Assistant Manager","Permanent","Current Employee","Barbil","","","","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Strategic Management","4.0","26/03/2026","Assistant Manager","Permanent","Current Employee","Ballari","","","","3.0","4.0","5.0","3.0","3.0","4.0","2.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Sales Support & Operations","5.0","25/03/2026","Assistant Manager","Permanent","Current Employee","Ludhiana","","","","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Production & Manufacturing - Other","4.0","25/03/2026","Assistant Manager","Permanent","Current Employee","Bengaluru","","","","5.0","3.0","5.0","5.0","4.0","5.0","3.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","IT Consulting","4.0","23/03/2026","Assistant Manager","Permanent","Current Employee","Raigarh","","","","3.0","3.0","5.0","4.0","2.0","2.0","3.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Quality Assurance and Testing","3.0","18/03/2026","Assistant Manager","Permanent","Current Employee","Pen","","","","3.0","2.0","3.0","3.0","3.0","3.0","2.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Operations","5.0","18/03/2026","Assistant Manager","Permanent","Current Employee","Ballari","","","","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Stores & Material Management","1.0","17/03/2026","Assistant Manager","Permanent","Current Employee","Barbil","","","Monday to Saturday (Strict Timings),","1.0","3.0","3.0","1.0","2.0","2.0","1.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Procurement & Purchase","4.0","15/03/2026","Assistant Manager","Permanent","Current Employee","Jharsuguda","","","Monday to Saturday (Strict Timings), This is a desk job.","3.0","4.0","4.0","4.0","4.0","3.0","3.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
"JSW Steel","","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Power Generation","4.0","15/03/2026","Assistant Manager","Permanent","Current Employee","Mumbai","","","","3.0","3.0","4.0","2.0","3.0","3.0","2.0","1","https://www.ambitionbox.com/reviews/jsw steel-reviews"
