"company_name","company_display_name","industry","total_reviews","company_overall_rating","company_work_life_balance","company_salary_benefits","company_job_security","company_company_culture","company_skill_development","company_work_satisfaction","company_promotions_appraisal","review_title","overall_rating","review_date","designation","employment_type","employee_status","work_location","likes","dislikes","additional_comments","sub_work_life_balance","sub_salary_benefits","sub_job_security","sub_company_culture","sub_skill_development","sub_work_satisfaction","sub_promotions_appraisal","source_page","source_url"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Operations","5.0","15/12/2025","General Manager Operations","Permanent","Current Employee","Amritsar","","","Monday to Saturday ( Strict Timings ) , This job involves Travel Within Country .","5.0","3.0","5.0","5.0","5.0","5.0","3.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Engineering","3.0","05/04/2025","Manager","Permanent","Current Employee","Amritsar","Work life balance","All condidate are local so they are not allowed to outsider.","Monday to Saturday ( Strict Timings ) , This is a desk job.","4.0","2.0","1.0","4.0","2.0","2.0","1.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Production","5.0","14/05/2025","Manager","Permanent","Current Employee","Amritsar","","Stability","6 days , Monday to Saturday ( Strict Timings ) , This is a desk job.","5.0","3.0","3.0","4.0","4.0","5.0","3.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Fashion & Accessories","5.0","07/01/2025","Deputy Manager","Permanent","Current Employee","Amritsar","All is good","Detecting the very able and leaves part of CTC","Monday to Saturday ( Strict Timings ) , This job involves International Travel , Travel Within Country .","4.0","3.0","5.0","5.0","5.0","3.0","4.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Engineering","1.0","13/09/2024","Intern","Permanent","Current Employee","Amritsar","Nothing","Behavior of security guards, Colleagues etc. their language and communication and the environment as well","Monday to Saturday ( Strict Timings ) , This is a desk job.","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Marketing","5.0","15/04/2025","Manager","Permanent","Current Employee","Amritsar","","","","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Retail & B2C Sales","5.0","18/01/2025","Assistant Manager","Permanent","Current Employee","Amritsar","Good working culture","","","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Accounting & Taxation","2.0","26/01/2025","Accounts & Finance Manager","Permanent","Current Employee","Amritsar","","","","4.0","3.0","4.0","2.0","2.0","3.0","2.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Quality Assurance and Testing","4.0","21/07/2024","Quality Assurance Officer","Permanent","Current Employee","Amritsar","Work life balance","Slow working environment","Monday to Saturday ( Strict Timings ) , This is a desk job.","5.0","3.0","5.0","4.0","4.0","3.0","3.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Operations, Maintenance & Support","5.0","03/11/2023","General Manager Operations","Permanent","Current Employee","Amritsar","Good Company, chance to learnlot of things, good culture","Nothing","Monday to Saturday ( Strict Timings ) , This is a desk job.","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Marketing","2.0","20/10/2023","Senior Marketing Executive","Permanent","Current Employee","New Delhi","Flexible timings and work life balance","Very less salary and no learning","Monday to Friday ( Flexible Timings ) ,","3.0","1.0","1.0","1.0","1.0","1.0","1.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Back Office","2.0","21/01/2024","Assistant Manager","Permanent","Current Employee","Amritsar","No likes here","","","3.0","1.0","2.0","1.0","3.0","2.0","1.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Operations","5.0","03/03/2023","General Manager Operations","Permanent","Current Employee","Amritsar","Culture, atmosphere","Nothing, everything ok.","Monday to Saturday ( Flexible Timings ) , This job involves International Travel .","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
"OCM","","","58","3.7","4.0","3.1","3.5","3.7","3.4","3.5","3.0","Production, Manufacturing & Engineering","3.0","13/06/2023","Assistant Manager","Permanent","Current Employee","Amritsar","Composite unit and lots of work","Culture ,lots of locality","Monday to Saturday ( Strict Timings ) , This is a desk job.","3.0","2.0","2.0","2.0","2.0","2.0","2.0","1","https://www.ambitionbox.com/reviews/ocm-reviews"
