"company_name","company_display_name","industry","total_reviews","company_overall_rating","company_work_life_balance","company_salary_benefits","company_job_security","company_company_culture","company_skill_development","company_work_satisfaction","company_promotions_appraisal","review_title","overall_rating","review_date","designation","employment_type","employee_status","work_location","likes","dislikes","additional_comments","sub_work_life_balance","sub_salary_benefits","sub_job_security","sub_company_culture","sub_skill_development","sub_work_satisfaction","sub_promotions_appraisal","source_page","source_url"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Retail & B2C Sales","4.0","18/03/2026","Territory Sales Incharge (working remotely)","Permanent","Current Employee","","Salery on time and culture good","Because of the managers, it feels like there is no job security.","Strict Timings, This job involves Travel Within City.","4.0","3.0","3.0","4.0","4.0","4.0","3.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Enterprise & B2B Sales","2.0","16/02/2026","Territory Sales Incharge","Permanent","Current Employee","Kolkata","","Work praser","3 days/week from office, Monday to Saturday,","3.0","1.0","3.0","3.0","3.0","2.0","2.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Sales Support & Operations","5.0","15/12/2025","Territory Sales Incharge","Permanent","Current Employee","Malappuram","","","other, Monday to Saturday (Strict Timings), This job involves Travel Within City.","4.0","2.0","3.0","5.0","5.0","5.0","2.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Sales Support & Operations","4.0","15/12/2025","Territory Sales Incharge","Permanent","Current Employee","Market","Products efficacy","Salary very low","Monday to Saturday (Flexible Timings), This job involves Travel Within City.","4.0","4.0","3.0","4.0","4.0","4.0","3.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Retail & B2C Sales","1.0","28/11/2025","Territory Sales Incharge","Permanent","Current Employee","Vijayawada","","Low very low","None, Monday to Saturday (Strict Timings),","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Enterprise & B2B Sales","3.0","14/10/2025","Territory Sales Incharge","Permanent","Current Employee","Ujjain","","","Monday to Saturday (Flexible Timings), This job involves Travel Within City.","4.0","2.0","4.0","4.0","4.0","3.0","2.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Marketing","4.0","13/10/2025","Territory Sales Incharge","Permanent","Current Employee","Ranchi","","","","4.0","3.0","4.0","4.0","4.0","4.0","3.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Marketing","5.0","13/10/2025","Territory Sales Incharge","Permanent","Current Employee","Markapur","","","","5.0","4.0","5.0","4.0","4.0","3.0","3.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Enterprise & B2B Sales","4.0","13/10/2025","Territory Sales Incharge","Permanent","Current Employee","Ahmedabad","","","","4.0","3.0","4.0","5.0","4.0","5.0","3.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Retail & B2C Sales","5.0","23/08/2025","Territory Sales Incharge","Permanent","Current Employee","Ujjain","","","other, Monday to Saturday (Flexible Timings), This job involves Travel Within Country.","5.0","3.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Retail & B2C Sales","5.0","15/05/2025","Territory Sales Incharge","Permanent","Current Employee","New Delhi","","","","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Marketing","5.0","11/02/2025","Territory Sales Incharge","Permanent","Current Employee","Kolhapur","","","Monday to Saturday (Flexible Timings), This job involves Travel Within City.","5.0","5.0","5.0","5.0","5.0","5.0","2.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Retail & B2C Sales","5.0","24/09/2024","Territory Sales Incharge","Permanent","Current Employee","Mumbai","Bestest working environment","Company not giving promotions at same H.Q. where candidate do well , companies this one policy if change then this is the world's no.1 company for work","Monday to Saturday (Strict Timings), This job involves Travel Within Country.","5.0","5.0","5.0","5.0","5.0","5.0","2.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Marketing and Communication - Other","5.0","05/09/2024","Territory Sales Incharge","Permanent","Current Employee","Solapur","","","","4.0","5.0","4.0","5.0","4.0","5.0","4.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Enterprise & B2B Sales","5.0","18/02/2024","Territory Sales Incharge","Permanent","Current Employee","Mira road to dhanu","Life better","Nothing","2 days/week from office, Monday to Saturday (Flexible Timings), This job involves Travel Within City, Travel Within Country.","5.0","5.0","5.0","4.0","5.0","5.0","5.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Sales Support & Operations","5.0","02/02/2024","Territory Sales Incharge","Permanent","Current Employee","Mayiladuthurai","","","","4.0","3.0","5.0","4.0","3.0","4.0","4.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Payroll & Transactions","2.0","29/11/2023","Territory Sales Incharge (working remotely)","Permanent","Current Employee","","Good working experience ..........","Company culture very rough.......","Monday to Saturday (Flexible Timings), This job involves Travel Within City, International Travel, Travel Within Country.","1.0","5.0","4.0","1.0","2.0","3.0","1.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Sales Support & Operations","4.0","22/09/2023","Territory Sales Incharge","Permanent","Current Employee","Mumbai","Culture And People are Supportive","","","5.0","3.0","4.0","5.0","5.0","4.0","3.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Marketing","3.0","18/08/2023","Territory Sales Incharge","Permanent","Current Employee","New Delhi","Good","company culture, salary, and the third party owner, I suggest Kindly enquire before working.","Monday to Saturday (Flexible Timings), This job involves Travel Within City.","5.0","5.0","4.0","5.0","3.0","4.0","4.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Trading, Asset & Wealth Management","5.0","13/07/2023","Territory Sales Incharge","Permanent","Current Employee","Kolhapur","I like to work.. Piramal Company culture is Good..","Yearlu Increment is less","Monday to Saturday (Strict Timings), This job involves Travel Within City, Travel Within Country.","4.0","3.0","5.0","5.0","5.0","5.0","4.0","1","https://www.ambitionbox.com/reviews/piramal pharma-reviews"
"Piramal Pharma","Piramal Pharma","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Pharmaceutical & Biotechnology","5.0","25/11/2025","Research Scientist","Permanent","Current Employee","Ahmedabad","Work life balance","Imbalance promosion system","Strict Timings , This job involves Travel Within Country .","5.0","5.0","5.0","5.0","5.0","5.0","1.0","2","https://www.ambitionbox.com/reviews/piramal pharma-reviews?page=2"
"Piramal Pharma","Piramal Pharma","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","Production & Manufacturing","3.0","16/12/2025","Deputy Qa Manager","Permanent","Current Employee","Pithampur","Good learning skills","Partiality culture","Monday to Saturday ( Strict Timings ) , This job involves Travel Within City .","4.0","3.0","3.0","3.0","4.0","3.0","3.0","2","https://www.ambitionbox.com/reviews/piramal pharma-reviews?page=2"
"Piramal Pharma","Piramal Pharma","Pharma","1.5k","3.9","3.9","3.0","3.7","4.0","3.9","3.8","2.8","BD / Pre Sales","5.0","28/10/2025","Area Sales Manager","Permanent","Current Employee","New Delhi","","","Monday to Saturday ( Strict Timings ) , This job involves Travel Within Country .","4.0","4.0","5.0","5.0","4.0","5.0","5.0","2","https://www.ambitionbox.com/reviews/piramal pharma-reviews?page=2"
